nama_proyek,nilai_investasi
Kereta Api Ekspres SHIA,"Rp 24,5 Triliun"
Kereta Api Makassar – Parepare,"Rp 8,25 Triliun"
Kereta Api Kalimantan Timur,"Rp 53,3 Triliun"
