No.,Nama Proyek,Lokasi
1.,Sistem Penyediaan Air Minum (SPAM) Semarang Barat,Provinsi Jawa Tengah
2.,Sistem Penyediaan Air Minum (SPAM) Regional Jatigede,Provinsi Jawa Barat
3.,Sistem Penyediaan Air Minum (SPAM) Umbulan,Provinsi Jawa Timur
4.,Sistem Penyediaan Air Minum (SPAM) Lampung,Provinsi Lampung
5.,Sistem Penyediaan Air Minum (SPAM) Regional Mamminasata,Provinsi Sulawesi Selatan
6.,Sistem Penyediaan Air Minum (SPAM) Regional Jatiluhur,Provinsi Jawa Barat
7.,Sistem Penyediaan Air Minum (SPAM) Regional Mebidang,Provinsi Sumatera Utara
8.,Sistem Penyediaan Air Minum (SPAM) Regional Wasusokas,Provinsi Jawa Tengah
9.,Jakarta Sewerage System/Pengolahan Limbah Jakarta,Provinsi DKI Jakarta
