No.,Nama Proyek,Lokasi
1.,Kuala Tanjung,Provinsi Sumatera Utara
2.,Ketapang,Provinsi Kalimantan Barat
3.,Morowali,Provinsi Sulawesi Tengah
4.,Konawe,Provinsi Sulawesi Tenggara
5.,Bantaeng,Provinsi Sulawesi Selatan
6.,Buli,Provinsi Maluku Utara
