No.,Nama Proyek,Lokasi
1.,"Pembangunan Pos Lintas Batas Negara (PLBN) & Sarana Penunjang Nanga Badau, Kab. Kapuas Hulu",Provinsi Kalimantan Barat
2.,"Pembangunan Pos Lintas Batas Negara (PLBN) & Sarana Penunjang Aruk, Kab. Sambas",Provinsi Kalimantan Barat
3.,"Pembangunan Pos Lintas Batas Negara (PLBN) & Sarana Penunjang Wini, Kab. Timor Tengah Utara",Provinsi Nusa Tenggara Timur
 , , 
